league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
ENG-Premier League,2025-26,Brentford,Mathias Jensen,DEN,MF,29-242,1996,0.9,46,3,10,27,9,3,46,0,0,,0,,14,40,24,0,0,0,1,0,22,0
ENG-Premier League,2025-26,Brentford,Michael Kayode,ITA,DF,21-052,2004,2.9,136,16,62,49,26,2,136,7,5,71.4,2,28.6,58,341,159,3,3,0,3,2,67,9
ENG-Premier League,2025-26,Brentford,Mikkel Damsgaard,DEN,MF,25-059,2000,2.0,94,5,16,42,36,6,94,7,3,42.9,4,57.1,43,256,139,5,3,2,2,3,48,5
ENG-Premier League,2025-26,Brentford,Nathan Collins,IRL,DF,24-123,2001,3.0,144,31,101,38,6,4,144,0,0,,0,,76,337,186,1,1,1,1,1,79,0
ENG-Premier League,2025-26,Brentford,Rico Henry,ENG,DF,28-054,1997,1.3,65,4,26,19,21,3,65,4,4,100.0,0,0.0,31,265,178,7,4,2,5,0,42,10
ENG-Premier League,2025-26,Brentford,Sepp van den Berg,NED,DF,23-254,2001,3.0,167,33,96,63,8,4,167,0,0,,0,,73,474,314,2,0,0,2,0,94,3
ENG-Premier League,2025-26,Brentford,Thiago,BRA,FW,24-066,2001,3.0,74,12,19,30,26,9,73,6,3,50.0,3,50.0,29,159,72,3,3,1,6,4,44,7
ENG-Premier League,2025-26,Brentford,Yehor Yarmoliuk,UKR,MF,21-183,2004,2.9,117,6,46,57,14,0,117,4,1,25.0,3,75.0,54,297,118,2,2,0,3,3,59,1
ENG-Premier League,2025-26,Brighton,Bart Verbruggen,NED,GK,23-013,2002,2.0,87,62,85,2,0,0,87,0,0,,0,,68,225,94,0,0,0,0,0,64,0
ENG-Premier League,2025-26,Brighton,Brajan Gruda,GER,"FW,DF",21-092,2004,0.2,11,0,2,3,7,2,11,2,1,50.0,1,50.0,7,75,55,2,0,1,2,1,8,3
